AÑO,MUNICIPIO,MACHOS MENORES DE 12 MESES,HEMBRAS MENORES DE 12 MESES,MACHOS DE 12 A 24 MESES,HEMBRAS DE 12 A 24 MESES,MACHOS DE 24 A 36 MESES,HEMBRAS DE 24 A 36 MESES,MACHOS MAYORES DE 36 MESES,HEMBRAS MAYORES DE 36 MESES,TOTAL
2016,ALMEIDA,280,370,130,280,140,300,150,760,2410
2016,AQUITANIA,1017,1040,1629,1091,2263,1255,731,3974,13000
2016,ARCABUCO,940,790,512,905,426,1132,345,1862,6912
2016,BELEN,800,850,650,700,600,1900,70,5000,10570
2016,BERBEO,181,140,603,284,190,214,172,234,2018
2016,BETEITIVA,250,350,100,200,100,200,50,800,2050
2016,BOAVITA,500,550,800,855,500,350,600,2000,6155
2016,BOYACA,448,168,336,336,224,470,112,706,2800
2016,BRICEÑO,250,270,330,220,120,380,150,1020,2740
2016,BUENAVISTA,463,502,493,579,342,241,170,1791,4581
2016,BUSBANZA,110,100,90,45,63,70,33,245,756
2016,CALDAS,750,1250,330,900,140,2280,60,3900,9610
2016,CAMPOHERMOSO,598,737,1001,745,1198,1157,516,2502,8454
2016,CERINZA,59,431,229,646,272,862,86,1723,4308
2016,CHINAVITA,250,200,400,400,350,600,350,400,2950
2016,CHIQUINQUIRA,700,3400,380,4350,780,2600,430,14650,27290
2016,CHIQUIZA,250,350,450,600,350,700,350,650,3700
2016,CHISCAS,1127,400,966,533,644,667,483,1066,5886
2016,CHITA,756,1551,812,723,526,537,692,1613,7210
2016,CHITARAQUE,730,550,620,310,795,487,374,514,4380
2016,CHIVATA,259,280,252,520,50,430,70,500,2361
2016,CHIVOR,200,150,230,180,300,400,60,300,1820
2016,CIENEGA,230,420,500,700,140,1400,80,1800,5270
2016,COMBITA,230,720,200,700,140,2400,80,2800,7270
2016,COPER,850,760,1300,950,740,1520,120,1800,8040
2016,CORRALES,100,150,150,150,150,100,150,200,1150
2016,COVARACHIA,150,118,488,330,325,389,323,608,2731
2016,CUBARA,1006,913,1163,1024,1272,997,358,2833,9566
2016,CUCAITA,200,250,80,180,8,110,10,182,1020
2016,CUITIVA,209,238,301,414,153,74,1,801,2191
2016,DUITAMA,500,1360,730,1585,450,2250,150,4500,11525
2016,EL COCUY,1500,1500,1500,1500,1500,1500,2000,3000,14000
2016,EL ESPINO,400,400,400,600,500,800,300,800,4200
2016,FIRAVITOBA,610,1011,870,975,910,1870,600,2220,9066
2016,FLORESTA,420,610,210,630,70,230,18,1480,3668
