Número de Registro,NIT Productor SDV,Nombre Comercial,Nombre Técnico,Partida Arancelaria,Fecha de Aprobacion,Fecha de Vencimiento
202102240075961,830119276,CONJUNTO MASCULINO,CONJUNTO MASCULINO DE DOS PIEZAS,6203230000,04/08/2021 12:00:00 AM,04/08/2022 12:00:00 AM
202102240075962,830119276,CORBATA PARA CABALLERO,ORBATA EN TEJIDO PLANO POLIESTER 100%,6215200000,03/29/2021 06:33:16 PM,03/29/2022 12:00:00 AM
202102250075966,813006150,PARTES PARA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES,CPI - SEPARADOR DE PLACAS,8421219000,03/17/2021 11:09:41 AM,03/17/2022 12:00:00 AM
202102250075967,813006150,PARTES PARA PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES,FILTRO DE LECHO VEGETAL,8421999000,03/17/2021 11:06:04 AM,03/17/2022 12:00:00 AM
202102250075968,813006150,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES CON CAPACIDAD DE PASO ENTRE 35.000 HASTA 6.300.000 GALONES POR DIA,PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES CON CAPACIDAD DE PASO ENTRE 35.000 HASTA 6.300.000 GALONES POR DIA,8421219000,03/17/2021 10:59:31 AM,03/17/2022 12:00:00 AM
202102260076021,830114800,Botones plásticos para ropa,Botones de resina de poliéster,9606210000,04/21/2021 12:00:00 AM,04/21/2022 12:00:00 AM
202103050076265,890910354,ARIX 15KV,RECONECTADOR MONOFASICO 15KV,8535300000,03/19/2021 03:27:14 PM,03/19/2022 12:00:00 AM
202103050076279,806008873,BARCAZA MULTIPROPOSITOS TIPO TANQUE ESLORA MAX. 56.60 MTS,BARCAZA MULTIPROPOSITOS TIPO BUNKERING ESLORA MAX. 56.60 MTS,8901901900,04/07/2021 12:00:00 AM,04/07/2022 12:00:00 AM
202103090075922,890112475,VENTANA GUILLOTINA EN ALUMINIO,VENTANA GUILLOTINA EN ALUMINIO,7610100000,03/18/2021 06:50:37 PM,03/18/2022 12:00:00 AM
202103090076369,860010192,GELATINA COMESTIBLE,GELATINA EN POLVO DE PIEL DE GANADO VACUNO - PRESENTACION: BULTOS Y BIG BAGS,3503001000,03/25/2021 09:09:30 AM,03/25/2022 12:00:00 AM
202103090076389,830055827,MONEDAS CONMEMORATIVAS DE DIAMETRO 35,MONEDAS CONMEMORATIVAS DE DIAMETRO DE 35,7117190000,03/16/2021 08:13:40 PM,03/16/2022 12:00:00 AM
202103100076422,860025792,DUSTER,VEHICULO NUEVA DUSTER 4X4 INTENS CC 1333,8703221090,03/17/2021 05:03:35 PM,03/17/2022 12:00:00 AM
202103100076426,51790591,PISTOLA 100% PLASTICA PARA INSTRUCCION SIG SAUER SIN FUNCIONALIDAD,PISTOLA 100% PLASTICA PARA INSTRUCCION SIG SAUER SIN FUNCIONALIDAD,3926909090,03/18/2021 09:40:50 AM,03/18/2022 12:00:00 AM
202103100076427,51790591,ESPOSAS TACTICAS EN PLASTICO PARA ENTRENAMIENTO,ESPOSAS TACTICAS EN PLASTICO PARA ENTRENAMIENTO,3926909090,03/18/2021 09:01:52 AM,03/18/2022 12:00:00 AM
202103100076428,51790591,PROVEEDOR PLASTICO PARA ENTRENAMIENTO,PROVEEDOR PLASTICO PARA ENTRENAMIENTO,3926909090,03/18/2021 09:00:02 AM,03/18/2022 12:00:00 AM
202103100076457,800003781,RECIPIENTES A PRESION O TANQUES A PRESION CAPACIDAD DE 10.001 LITROS A 20.000 LITROS,RECIPIENTES A PRESION O TANQUES A PRESION CAPACIDAD DE 10.001 LITROS A 20.000 LITROS,7309000000,03/18/2021 04:51:45 PM,03/18/2022 12:00:00 AM
202103100076459,800003781,TRAMPAS DE MARRANO,TRAMPAS LANZADORAS Y RECEPTORAS DE RASPADORES PARA TUBERIAS DE MARRANOS,7307290000,03/18/2021 04:47:24 PM,03/18/2022 12:00:00 AM
202103110076466,800164351,AVENA UHT CON ADICIÓN DE HIERRO 200 ML  LA VITTA,AVENA UHT CON ADICIÓN DE HIERRO,2202990000,03/18/2021 05:15:20 PM,03/18/2022 12:00:00 AM
202103110076467,800164351,AVENA UHT MARCA LA VITTA,AVENA UHT,2202990000,03/18/2021 05:13:12 PM,03/18/2022 12:00:00 AM
202103110076468,800164351,LECHE SABORIZADA  DE CHOCOLATE CON ADICION DE HIERRO MARCA LA VITTA,LECHE SABORIZADA DE CHOCOLATE ULTRAPASTEURIZADA CON ADICION DE HIERRO,2202990000,03/18/2021 05:09:31 PM,03/18/2022 12:00:00 AM
202103110076469,800164351,LECHE SABORIZADA  DE CHOCOLATE  MARCA LA VITTA,LECHE SABORIZADA DE CHOCOLATE ULTRAPASTEURIZADA,2202990000,03/18/2021 05:06:01 PM,03/18/2022 12:00:00 AM
202103110076470,800164351,LECHE SABORIZADA  DE FRESA CON ADICION DE HIERRO  LA VITTA FUNKY 200 ML,LECHE SABORIZADA DE FRESA ULTRAPASTEURIZADA CON ADICION DE HIERRO,2202990000,03/18/2021 05:01:41 PM,03/18/2022 12:00:00 AM
202103110076471,800164351,LECHE SABORIZADA  DE FRESA MARCA  LA VITTA,LECHE SABORIZADA DE FRESA ULTRAPASTEURIZADA,2202990000,03/18/2021 04:58:29 PM,03/18/2022 12:00:00 AM
202103110076473,800164351,LECHE SABORIZADA DE VAINILLA   CON ADICION DE HIERRO  MARCA: LA VITTA Y FUNKY 200 ML,LECHE SABORIZADA DE VAINILLA ULTRAPASTEURIZADA CON ADICION DE HIERRO,2202990000,03/18/2021 04:56:24 PM,03/18/2022 12:00:00 AM
202103110076474,800164351,LECHE SABORIZADA DE VAINILLA  MARCA: LA VITTA,LECHE SABORIZADA DE VAINILLA ULTRAPASTEURIZADA,2202990000,03/18/2021 04:52:45 PM,03/18/2022 12:00:00 AM
202103110076475,800164351,NECTAR DE LULO MARCA FUNKY,NECTAR DE LULO ULTRAPASTEURIZADO,2202990000,03/18/2021 04:49:03 PM,03/18/2022 12:00:00 AM
202103110076476,800164351,NECTAR DE MANDARINA MARCAS  FUNKY,NECTAR DE MANDARINA ULTRAPASTEURIZADO,2202990000,03/18/2021 04:45:45 PM,03/18/2022 12:00:00 AM
202103110076477,800164351,NECTAR DE MARACUYA CON ADICION DE HIERRO MARCAS FUNKY,NECTAR DE MARACUYA ULTRAPASTEURIZADO CON ADICION DE HIERRO,2202990000,03/18/2021 04:43:29 PM,03/18/2022 12:00:00 AM
202103110076479,800164351,NECTAR DE MANZANA MARCAS FUNKY,NECTAR DE MANZANA ULTRAPASTEURIZADO,2202990000,03/18/2021 04:38:30 PM,03/18/2022 12:00:00 AM
202103110076491,800164351,NECTAR DE PIÑA MARCAS FUNKY,NECTAR DE PIÑA ULTRAPASTEURIZADO,2202990000,03/18/2021 04:33:51 PM,03/18/2022 12:00:00 AM
202103110076494,800164351,NECTAR DE FRESA FUNKY,NECTAR DE FRESA ULTRAPASTEURIZADO,2202990000,03/18/2021 04:27:28 PM,03/18/2022 12:00:00 AM
